Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
17;77;CSS Badalona;08;FUENCARRAL-EL PARDO;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;076;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
18;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;018;25 - 29;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2020
19;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;199;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;02/01/2020
20;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;147;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
21;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;144;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;02/01/2020
22;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;090;70 - 74;Española;M;2;Zona / Historia Social;;;02/01/2020
23;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2006;REJAS;071;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
24;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;016;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
25;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;60 - 64;Española;H;1;Primera Atención;040;Desproteccion social problema salud;02/01/2020
26;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;080;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;02/01/2020
27;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;014;60 - 64;Extranjera;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
28;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;062;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2020
29;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;062;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2020
30;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;060;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2020
31;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;063;40 - 44;Española;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2020
32;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;044;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2020
33;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0807;MIRASIERRA;134;65 - 69;Española;M;1;Primera Atención;040;Desproteccion social problema salud;03/01/2020
34;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;112;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2020
35;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1604;PINAR DEL REY;048;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2020
36;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;018;25 - 29;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;03/01/2020
37;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;153;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;03/01/2020
38;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;102;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2020
39;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0904;VALDEZARZA;066;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;03/01/2020
40;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;089;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2020
41;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;093;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2020
42;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;083;25 - 29;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2020
43;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;045;45- 49;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;03/01/2020
44;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0506;CASTILLA;087;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
45;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1504;CONCEPCION;115;25 - 29;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2020
46;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;047;60 - 64;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
47;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1506;SAN JUAN BAUTISTA;148;>= 85;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
48;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;015;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
49;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;060;40 - 44;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;07/01/2020
50;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;148;65 - 69;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
51;72;CSS Retiro;03;RETIRO;03;RETIRO;0304;IBIZA;061;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
52;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;109;18 - 24;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2020
53;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;047;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;07/01/2020
54;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;014;50 - 54;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;07/01/2020
55;84;CSS San Filiberto;12;USERA ;12;USERA ;1201;ORCASITAS;016;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2020
56;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;096;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;07/01/2020
57;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;139;55 - 59;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
58;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;073;60 - 64;Española;M;0;CIVIS;030;Alojamiento/Vivienda;08/01/2020
59;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;108;35 - 39;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2020
60;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0503;CIUDAD JARDIN;047;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2020
61;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;057;40 - 44;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2020
62;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;011;70 - 74;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2020
63;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0805;LA PAZ;041;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2020
64;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1605;APOSTOL SANTIAGO;090;65 - 69;Española;M;1;Primera Atención;040;Desproteccion social problema salud;08/01/2020
65;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;018;25 - 29;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2020
66;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1606;VALDEFUENTES;116;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
67;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;202;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
68;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;167;60 - 64;Española;H;2;Zona / Historia Social;;;08/01/2020
69;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;144;80 - 84;Española;M;2;Zona / Historia Social;;;08/01/2020
70;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;036;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
71;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;083;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;08/01/2020
72;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;089;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
73;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;090;25 - 29;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2020
74;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;017;50 - 54;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2020
75;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;132;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;09/01/2020
76;83;CSS Zaida;11;CARABANCHEL;10;LATINA;1003;LUCERO;057;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2020
77;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;107;65 - 69;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
78;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0502;PROSPERIDAD;035;55 - 59;Española;M;0;CIVIS;;;09/01/2020
79;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0502;PROSPERIDAD;023;>= 85;Española;H;2;Zona / Historia Social;;;09/01/2020
80;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1504;CONCEPCION;119;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
81;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;009;18 - 24;Española;M;0;CIVIS;030;Alojamiento/Vivienda;09/01/2020
82;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0808;EL GOLOSO;129;18 - 24;Española;H;2;Zona / Historia Social;;;09/01/2020
83;77;CSS Badalona;08;FUENCARRAL-EL PARDO;20;SAN BLAS-CANILLEJAS;2004;ARCOS;055;18 - 24;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2020
84;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;025;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
85;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;161;50 - 54;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
86;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;102;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2020
87;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1405;FONTARRON;045;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2020
88;87;CSS Entrevías;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1301;ENTREVIAS;002;45- 49;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2020
89;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;055;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
90;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;037;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
91;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;061;45- 49;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2020
92;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;056;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2020
93;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;057;70 - 74;Extranjera;H;1;Primera Atención;040;Desproteccion social problema salud;09/01/2020
94;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;032;45- 49;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2020
95;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1203;SAN FERMIN;103;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2020
96;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;096;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2020
97;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0202;ACACIAS;092;35 - 39;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;10/01/2020
98;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;141;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
99;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;137;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
100;71;CSS Maravillas;01;CENTRO;01;CENTRO;0103;CORTES;067;35 - 39;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2020
101;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;009;50 - 54;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
102;70;CSS Puerta de Toledo;01;CENTRO;10;LATINA;1004;ALUCHE;084;25 - 29;Extranjera;M;0;CIVIS;030;Alojamiento/Vivienda;10/01/2020
103;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1504;CONCEPCION;115;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
104;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;075;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
105;91;CSS Luis Vives;15;CIUDAD LINEAL;10;LATINA;1004;ALUCHE;084;25 - 29;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2020
106;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;012;45- 49;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
107;108;CSS Santa Felicidad;15;CIUDAD LINEAL;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;118;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2020
108;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;019;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
109;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;112;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
110;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;055;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
111;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1004;ALUCHE;131;75 - 79;Española;M;1;Primera Atención;050;Desprotección socio-familiar;10/01/2020
112;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;148;65 - 69;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
113;79;CSS Los Yébenes;10;LATINA;10;LATINA;1003;LUCERO;063;65 - 69;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2020
114;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0904;VALDEZARZA;063;35 - 39;Española;H;2;Zona / Historia Social;010;Malos Tratos;10/01/2020
115;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1405;FONTARRON;045;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
116;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;168;55 - 59;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
117;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;210;30 - 34;Española;M;1;Primera Atención;050;Desprotección socio-familiar;10/01/2020
118;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;046;65 - 69;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2020
119;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;056;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;10/01/2020
120;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;038;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
121;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;12;USERA ;1204;ALMENDRALES;048;18 - 24;Extranjera;M;1;Primera Atención;010;Malos Tratos;10/01/2020
122;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;090;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
123;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;118;80 - 84;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
124;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1203;SAN FERMIN;103;75 - 79;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;10/01/2020
125;84;CSS San Filiberto;12;USERA ;12;USERA ;1204;ALMENDRALES;045;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2020
126;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;066;25 - 29;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2020
127;99;CSS Teresa de Calcuta;21;BARAJAS;20;SAN BLAS-CANILLEJAS;2003;AMPOSTA;036;30 - 34;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;13/01/2020
128;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;107;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;13/01/2020
129;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;014;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2020
130;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;012;45- 49;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;13/01/2020
131;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;031;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;13/01/2020
132;106;CSS Fuerte de Navidad;10;LATINA;11;CARABANCHEL;1104;VISTA ALEGRE;087;35 - 39;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;13/01/2020
133;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;167;60 - 64;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;13/01/2020
134;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;187;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;13/01/2020
135;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;076;75 - 79;Española;M;0;CIVIS;040;Desproteccion social problema salud;13/01/2020
136;87;CSS Entrevías;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1301;ENTREVIAS;027;25 - 29;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;13/01/2020
137;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;144;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2020
138;86;CSS San Diego;13;PUENTE DE VALLECAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;055;18 - 24;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;13/01/2020
139;86;CSS San Diego;13;PUENTE DE VALLECAS;12;USERA ;1205;MOSCARDO;067;25 - 29;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;13/01/2020
140;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;35 - 39;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;13/01/2020
141;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1203;SAN FERMIN;103;75 - 79;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;13/01/2020
142;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;087;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;14/01/2020
